listing_id,listing_ocid,product_name,publisher,publisher_type,category,subcategory,short_description,long_description,listing_type,package_type,operating_systems,version,version_date,pricing_model,pricing_currency,price_per_hour,price_per_month,price_per_year,free_trial_available,supported_shapes,minimum_shape,system_requirements,usage_information,documentation_url,support_url,video_url,icon_url,banner_url,tags,keywords,time_created,time_updated,regions_available,compatible_architectures,eula_required,agreement_type,third_party_licenses,us_government_ready,us_government_available,us_gov_west_available,us_dod_ready,dod_impact_level,fedramp_indicators,cmmc_indicators,uk_government_ready,uk_government_available,export_control_status,sales_priority,market_category,deployment_complexity,enterprise_readiness,security_focused,ai_ml_related,database_related,networking_related,compliance_certifications,oracle_validated,oracle_recommended,oracle_managed,marketplace_url,listing_url,government_notes
100625949,100625949,Complete LAMP Stack with Ubuntu 20.04 lts focal ARM,Cognosys Inc.,,Database,Application Development,"The LAMP Stack, consisting of Linux, Apache, MySQL, and PHP, delivers a powerful, open-source platform for robust web application development. When running on \\[on_operating_system\\] and hosted on \\[on_cloud_name\\], it ensures high performance, security, and scalability.",,PARTNER,IMAGE,,,,,,,,,,,,,,,,,,,,,,,,ARM,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,UNRESTRICTED,LOW,Database,LOW,LOW,True,False,True,False,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/100625949,,Analysis based on content only - no government region access
100675093,100675093,CurrikiStudio - App,Curriki,,Packaged Application,,Creates the interactive Learning Content,,PARTNER,IMAGE,,,,,,,,,,,,,,,,,,,,,,,,X86,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,RESTRICTED,LOW,Other,LOW,LOW,False,False,False,False,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/100675093,,Analysis based on content only - no government region access
100693019,100693019,Redis Server with Ubuntu Server 20.04 LTS Arm,Cognosys Inc.,,Application Development,Other,"Redis, the ultra fast low latency Nosql database on Ubuntu Server 20.04 LTS",,PARTNER,IMAGE,,,,,,,,,,,,,,,,,,,,,,,,ARM,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,UNRESTRICTED,LOW,Other,LOW,LOW,False,False,True,False,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/100693019,,Analysis based on content only - no government region access
100695482,100695482,Maximize Speed Using Memcached on Oracle enterprise linux ARM,Cognosys Inc.,,Other,Application Development,"Memcached is a high-performance distributed memory caching system that is capable of storing key-value pairs in memory, resulting in lower database loads and faster access times. When running on ORACLE, Memcached significantly enhances application performance and scalability by reducing database lookups and",,PARTNER,IMAGE,,,,,,,,,,,,,,,,,,,,,,,,ARM,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,UNRESTRICTED,LOW,Other,LOW,LOW,False,True,True,False,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/100695482,,Analysis based on content only - no government region access
100766188,100766188,CurrikiStudio - DB,Curriki,,Database,,CurrikiStudio MySQL and Postgres Database,,PARTNER,IMAGE,,,,,,,,,,,,,,,,,,,,,,,,X86,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,UNRESTRICTED,LOW,Database,LOW,LOW,False,False,True,False,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/100766188,,Analysis based on content only - no government region access
100766795,100766795,CurrikiStudio - ElasticSearch,Curriki,,Packaged Application,,Creates the interactive Learning Content,,PARTNER,IMAGE,,,,,,,,,,,,,,,,,,,,,,,,X86,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,RESTRICTED,LOW,Other,LOW,LOW,False,False,False,False,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/100766795,,Analysis based on content only - no government region access
100777231,100777231,Oracle SD-WAN Edge Virtual Appliance - VT800_128,Oracle,,Networking,Security,Oracle SD-WAN: Delivering QoE in a Multicloud World,,PARTNER,IMAGE,,,,,,,,,,,,,,,,,,,,,,,,X86,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,UNRESTRICTED,LOW,Networking,LOW,LOW,False,False,True,False,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/100777231,,Analysis based on content only - no government region access
100863852,100863852,Curriki,Curriki,,Packaged Application,,Shaping the Future of Learning,,PARTNER,ORCHESTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,RESTRICTED,LOW,Other,UNKNOWN,LOW,False,False,False,False,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/100863852,,Analysis based on content only - no government region access
100897232,100897232,Complete LAMP Stack with Ubuntu 20.04 lts focal,Cognosys Inc.,,Business Applications,Application Development,"The LAMP Stack, consisting of Linux, Apache, MySQL, and PHP, delivers a powerful, open-source platform for robust web application development. When running on \\[on_operating_system\\] and hosted on \\[on_cloud_name\\], it ensures high performance, security, and scalability.",,PARTNER,IMAGE,,,,,,,,,,,,,,,,,,,,,,,,X86,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,UNRESTRICTED,LOW,Other,LOW,LOW,True,False,True,False,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/100897232,,Analysis based on content only - no government region access
102004813,102004813,Palo Alto Networks Panorama,Palo Alto Networks,,Security,,"Panorama network security management enables you to control your distributed network of our firewalls from one central location. View all your firewall traffic, manage all aspects of device configuration, push global policies, and generate reports on traffic patterns or security incidents - all from a single console.",,PARTNER,IMAGE,,,,,,,,,,,,,,,,,,,,,,,,X86,,,,UNKNOWN,False,False,UNKNOWN,,False,False,UNKNOWN,False,UNRESTRICTED,HIGH,Security,LOW,LOW,True,False,False,True,,,,,https://cloudmarketplace.oracle.com/marketplace/en_US/listing/102004813,,Analysis based on content only - no government region access
